symbol,asset_class,freq_label,signal_time,entry_time,exit_time,direction,streak_len,amplitude,raw_weight,trade_return,scaled_weight,gross_leverage,pnl,signed_return,holding_days
申万小盘指数,EQUITY,W,2012-01-06,2012-01-13,2012-01-27,1,9,-0.2649226452132739,0.4,0.0663184980785833,0.125,1.0,0.0082273122598229,0.0663184980785833,14
恒生医疗保健指数,EQUITY,Q,2011-12-30,2012-03-30,2012-09-28,1,5,-0.3684060207050066,0.4,0.1707869673250757,0.4,0.4,0.0681147869300302,0.1707869673250757,182
伦敦银现,COMMO,W,2012-06-08,2012-06-15,2012-06-29,1,7,-0.0885889727516949,0.2657669182550849,-0.0356867148571831,0.2657669182550849,0.5525467875017175,-0.009617231689369,-0.0356867148571831,14
恒生医疗保健指数,EQUITY,W,2012-06-08,2012-06-15,2012-06-29,1,7,-0.0716949673116581,0.2867798692466325,0.0609869074065323,0.2867798692466325,0.5525467875017175,0.0173464273971785,0.0609869074065323,14
ICE布油,COMMO,W,2012-06-15,2012-06-22,2012-07-06,1,7,-0.1363839285714285,0.35,0.0055569914706641,0.35,0.35,0.0017699470147324,0.0055569914706641,14
ICE布油,COMMO,W,2012-06-22,2012-06-29,2012-07-13,1,8,-0.2007812499999999,0.35,0.118279569892473,0.35,0.35,0.0412228494623655,0.118279569892473,14
中信风格指数:周期,EQUITY,W,2012-08-03,2012-08-10,2012-08-24,1,7,-0.0960721741458762,0.3842886965835048,-0.0031529413111524,0.3842886965835048,0.3842886965835048,-0.0014037840551587,-0.0031529413111524,14
期货收盘价(连续):CBOT小麦,COMMO,W,2013-03-08,2013-03-15,2013-03-29,1,7,-0.1083870967741935,0.3251612903225807,0.0,0.3251612903225807,0.3251612903225807,-0.0001625806451612,0.0,14
期货收盘价(连续):CBOT小麦,COMMO,W,2014-01-17,2014-01-24,2014-02-07,1,7,-0.1149470380541388,0.3448411141624166,0.023936170212766,0.3448411141624166,0.3448411141624166,0.0080817550478702,0.023936170212766,14
现货结算价:LME铜,COMMO,W,2015-01-23,2015-01-30,2015-02-13,1,7,-0.1448709109017084,0.35,0.0268769037806841,0.35,0.35,0.0092319163232394,0.0268769037806841,14
