symbol,asset_class,freq_label,signal_time,entry_time,exit_time,direction,streak_len,amplitude,raw_weight,trade_return,scaled_weight,gross_leverage,pnl,signed_return
伦敦金现,COMMO,W,2016-12-23,2016-12-30,2017-01-13,1,7,-0.07627747040082145,0.22883241120246434,0.055927030221767815,0.22883241120246434,0.22883241120246434,0.012683500971438992,0.055927030221767815
煤炭,COMMO,W,2018-04-20,2018-04-27,2018-05-11,1,7,-0.12677878395860287,0.35,0.022222222222222143,0.35,0.35,0.00760277777777775,0.022222222222222143
中信风格指数:周期,EQUITY,M,2018-05-31,2018-06-29,2018-08-31,1,8,-0.14363555460855526,0.4,-0.13963420012046335,0.4,0.4,-0.05605368004818534,-0.13963420012046335
中信风格指数:稳定,EQUITY,W,2018-07-06,2018-07-13,2018-07-27,1,7,-0.11832271766853308,0.4,0.08184414107920102,0.3333333333333333,1.0,0.027114713693067005,0.08184414107920102
中证全指,EQUITY,W,2018-07-06,2018-07-13,2018-07-27,1,7,-0.14256241778579126,0.4,0.04744959081236,0.3333333333333333,1.0,0.01564986360412,0.04744959081236
中证红利,EQUITY,W,2018-07-06,2018-07-13,2018-07-27,1,7,-0.11787633640785866,0.4,0.046372494321125446,0.3333333333333333,1.0,0.015290831440375147,0.046372494321125446
中信风格指数:周期,EQUITY,M,2018-06-29,2018-07-31,2018-09-28,1,9,-0.20917273596722163,0.4,-0.05765103350790657,0.4,0.4,-0.02326041340316263,-0.05765103350790657
伦敦银现,COMMO,W,2018-07-27,2018-08-03,2018-08-17,1,7,-0.06423295798522821,0.19269887395568464,-0.043410752409911324,0.19269887395568464,0.5460905083479591,-0.008461552543936776,-0.043410752409911324
恒生综合行业指数-资讯科技业,EQUITY,W,2018-07-27,2018-08-03,2018-08-17,1,7,-0.08834790859806863,0.3533916343922745,-0.10831832980545941,0.3533916343922745,0.5460905083479591,-0.03845548742178886,-0.10831832980545941
伦敦银现,COMMO,W,2018-08-03,2018-08-10,2018-08-24,1,8,-0.06895507930742228,0.20686523792226685,-0.03842902659470693,0.20686523792226685,0.6068652379222669,-0.008053062348596303,-0.03842902659470693
恒生综合行业指数-资讯科技业,EQUITY,W,2018-08-03,2018-08-10,2018-08-24,1,8,-0.14976288708851493,0.4,0.001948850403803437,0.4,0.6068652379222669,0.0005795401615213749,0.001948850403803437
伦敦银现,COMMO,W,2018-08-10,2018-08-17,2018-08-31,1,9,-0.07446422084998183,0.2233926625499455,-0.04984301412872838,0.2233926625499455,0.2233926625499455,-0.011246259967006157,-0.04984301412872838
伦敦银现,COMMO,W,2018-08-17,2018-08-24,2018-09-07,1,10,-0.10485530935948673,0.3145659280784602,-0.04409576626538614,0.3145659280784602,0.3145659280784602,-0.014028308603641277,-0.04409576626538614
万得科技大类指数,EQUITY,M,2018-07-31,2018-08-31,2018-10-31,1,8,-0.13753865525989284,0.4,-0.17151721398589403,0.4,0.4,-0.06880688559435762,-0.17151721398589403
万得科技大类指数,EQUITY,M,2018-08-31,2018-09-28,2018-11-30,1,9,-0.17589763531655656,0.4,-0.06608769249206048,0.4,0.4,-0.026635076996824193,-0.06608769249206048
万得科技大类指数,EQUITY,M,2018-09-28,2018-10-31,2018-12-31,1,10,-0.18901727681795455,0.4,-0.08355881312006952,0.4,0.4,-0.03362352524802781,-0.08355881312006952
ICE布油,COMMO,W,2018-11-23,2018-11-30,2018-12-14,1,7,-0.26572626763248186,0.35,0.019210799584631122,0.35,0.75,0.0065487798546208925,0.019210799584631122
万得科技大类指数,EQUITY,M,2018-10-31,2018-11-30,2019-01-31,1,11,-0.28546562228024375,0.4,0.0628406803673085,0.4,0.75,0.024936272146923403,0.0628406803673085
ICE布油,COMMO,W,2018-11-30,2018-12-07,2018-12-21,1,8,-0.2659168890583302,0.35,-0.09166450272656446,0.35,0.35,-0.03225757595429756,-0.09166450272656446
中信风格指数:周期,EQUITY,Q,2018-12-31,2019-03-29,2019-09-30,1,5,-0.3298591774257952,0.4,0.12890554714924773,0.2,1.0,0.02568110942984955,0.12890554714924773
中信风格指数:成长,EQUITY,Q,2018-12-31,2019-03-29,2019-09-30,1,5,-0.35507975016805127,0.4,0.2918955214613521,0.2,1.0,0.05827910429227042,0.2918955214613521
中证全指,EQUITY,Q,2018-12-31,2019-03-29,2019-09-30,1,5,-0.2993569985098695,0.4,0.22783607875584866,0.2,1.0,0.04546721575116973,0.22783607875584866
申万中盘指数,EQUITY,Q,2018-12-31,2019-03-29,2019-09-30,1,5,-0.32400942945750455,0.4,0.23592264051335055,0.2,1.0,0.04708452810267011,0.23592264051335055
申万小盘指数,EQUITY,Q,2018-12-31,2019-03-29,2019-09-30,1,5,-0.352922630548567,0.4,0.17476370603747116,0.2,1.0,0.03485274120749423,0.17476370603747116
现货结算价:LME铜,COMMO,W,2019-05-31,2019-06-07,2019-06-21,1,7,-0.10352047146401988,0.31056141439205964,0.027765764207248633,0.31056141439205964,0.31056141439205964,0.00846769429668353,0.027765764207248633
现货结算价:LME铜,COMMO,W,2019-06-07,2019-06-14,2019-06-28,1,8,-0.10514888337468986,0.3154466501240696,0.035008665511265136,0.3154466501240696,0.3154466501240696,0.0108856429357806,0.035008665511265136
中信风格指数:成长,EQUITY,W,2022-04-15,2022-04-22,2022-05-06,1,7,-0.16006529793318236,0.4,-0.07076094693076151,0.4,0.4,-0.028504378772304606,-0.07076094693076151
中信风格指数:成长,EQUITY,W,2022-04-22,2022-04-29,2022-05-13,1,8,-0.2059890181249554,0.4,0.03488037709760894,0.4,0.4,0.013752150839043575,0.03488037709760894
中信风格指数:成长,EQUITY,W,2022-04-29,2022-05-06,2022-05-20,1,9,-0.20792872978221766,0.4,0.07953134209876622,0.4,0.4,0.03161253683950649,0.07953134209876622
中信风格指数:成长,EQUITY,W,2022-05-06,2022-05-13,2022-05-27,1,10,-0.21949987281143735,0.4,0.0709415446028836,0.4,0.4,0.028176617841153443,0.0709415446028836
标普500,EQUITY,W,2022-05-20,2022-05-27,2022-06-10,1,7,-0.13076724268539386,0.4,-0.0001281604363606581,0.4,0.4,-0.0002512641745442632,-0.0001281604363606581
恒生综合行业指数-资讯科技业,EQUITY,Q,2022-03-31,2022-06-30,2022-12-30,1,5,-0.43391422293408266,0.4,-0.10163348410567286,0.4,0.4,-0.04085339364226914,-0.10163348410567286
伦敦银现,COMMO,W,2022-07-15,2022-07-22,2022-08-05,1,7,-0.14761578827287247,0.35,0.06456102783725903,0.35,0.35,0.02242135974304066,0.06456102783725903
伦敦银现,COMMO,W,2022-07-22,2022-07-29,2022-08-12,1,8,-0.15295459730778005,0.35,0.11975435005117752,0.35,0.35,0.041739022517912124,0.11975435005117752
万得科技大类指数,EQUITY,W,2022-09-30,2022-10-07,2022-10-21,1,7,-0.14080682830115765,0.4,0.0006375081644069969,0.4,0.4,5.500326576279876e-05,0.0006375081644069969
美国国债10年期,BOND,W,2022-10-14,2022-10-21,2022-11-04,1,11,-0.054405700753894504,0.326434204523367,-0.007555775887029603,0.326434204523367,0.326434204523367,-0.00262968079350103,-0.007555775887029603
美国国债10年期,BOND,W,2022-10-21,2022-10-28,2022-11-11,1,12,-0.06400494177595206,0.3840296506557124,0.020479583087685826,0.3840296506557124,0.3840296506557124,0.007672752313410767,0.020479583087685826
恒生地产分类指数,EQUITY,M,2022-09-30,2022-10-31,2022-12-30,1,8,-0.24189534890680053,0.4,0.14206838295825008,0.4,0.4,0.05662735318330004,0.14206838295825008
恒生地产分类指数,EQUITY,M,2022-10-31,2022-11-30,2023-01-31,1,9,-0.38078211354325076,0.4,0.46985538747693756,0.4,0.4,0.18774215499077504,0.46985538747693756
恒生指数,EQUITY,Q,2022-09-30,2022-12-30,2023-06-30,1,5,-0.2991909874981892,0.4,0.09833459425657698,0.4,0.4,0.0391338377026308,0.09833459425657698
恒生综合行业指数-资讯科技业,EQUITY,W,2023-05-19,2023-05-26,2023-06-09,1,7,-0.12576822257949738,0.4,0.01636746664296762,0.4,0.4,0.006346986657187049,0.01636746664296762
恒生综合行业指数-资讯科技业,EQUITY,W,2023-05-26,2023-06-02,2023-06-16,1,8,-0.1554482552816543,0.4,0.1355423859398961,0.4,0.4,0.054016954375958444,0.1355423859398961
ICE布油,COMMO,W,2023-12-08,2023-12-15,2023-12-29,1,7,-0.15071090047393365,0.35,0.017059948979591955,0.35,0.35,0.005795982142857184,0.017059948979591955
期货收盘价(连续):CBOT大豆,COMMO,W,2024-02-02,2024-02-09,2024-02-23,1,7,-0.08580223162754907,0.2574066948826472,-0.0439814814814814,0.2574066948826472,0.2574066948826472,-0.011449831131631805,-0.0439814814814814
期货收盘价(连续):CBOT大豆,COMMO,W,2024-02-09,2024-02-16,2024-03-01,1,8,-0.08830319353597538,0.26490958060792613,-0.035661531968769755,0.26490958060792613,0.26490958060792613,-0.00957953626798691,-0.035661531968769755
期货收盘价(连续):CBOT大豆,COMMO,W,2024-02-16,2024-02-23,2024-03-08,1,9,-0.0969603693728357,0.2908811081185071,-0.012782275244993535,0.2908811081185071,0.2908811081185071,-0.003863562941598735,-0.012782275244993535
期货收盘价(连续):CBOT大豆,COMMO,W,2024-02-23,2024-03-01,2024-03-15,1,10,-0.12601000384763372,0.35,0.05524983491085189,0.35,0.35,0.01916244221879816,0.05524983491085189
恒生医疗保健指数,EQUITY,Q,2024-03-28,2024-06-28,2024-12-31,1,5,-0.350327920497179,0.4,0.02841134514163768,0.4,0.8,0.011164538056655071,0.02841134514163768
恒生地产分类指数,EQUITY,Q,2024-03-28,2024-06-28,2024-12-31,1,5,-0.37763604460184264,0.4,-0.039181602287472694,0.4,0.8,-0.015872640914989078,-0.039181602287472694
中信风格指数:消费,EQUITY,W,2024-06-28,2024-07-05,2024-07-19,1,7,-0.1305667372291368,0.4,0.010665819436771251,0.4,0.7478929038760992,0.004066327774708501,0.010665819436771251
中证全指,EQUITY,W,2024-06-28,2024-07-05,2024-07-19,1,7,-0.08697322596902479,0.34789290387609917,0.0006831733899015369,0.34789290387609917,0.7478929038760992,6.37247225256746e-05,0.0006831733899015369
中信风格指数:消费,EQUITY,W,2024-07-05,2024-07-12,2024-07-26,1,8,-0.1377646269129017,0.4,-0.02126877343320832,0.4,0.9968528967574707,-0.00870750937328333,-0.02126877343320832
中信风格指数:金融,EQUITY,W,2024-07-05,2024-07-12,2024-07-26,1,7,-0.05082029884342054,0.20328119537368217,0.021627425559407776,0.20328119537368217,0.9968528967574707,0.004294808322884898,0.021627425559407776
中证全指,EQUITY,W,2024-07-05,2024-07-12,2024-07-26,1,8,-0.09839292534594712,0.3935717013837885,-0.015495909200288649,0.3935717013837885,0.9968528967574707,-0.006295537199138199,-0.015495909200288649
中信风格指数:成长,EQUITY,Q,2024-06-28,2024-09-30,2025-03-31,1,5,-0.262646439894315,0.4,0.2981844315589439,0.16666666666666669,1.0,0.04961407192649066,0.2981844315589439
